month,price
0,71.16
1,69.85
2,65.93
3,69.78
4,73.61
5,75.09
6,73.49
7,73.57
8,74.31
9,77.38
10,76.84
11,79.24
12,80.13
13,83.76
14,81.04
15,82.05
16,84.89
17,89.87
18,83.06
19,76.49
20,72.81
21,75.02
22,75.86
23,76.82
24,77.08
25,75.73
26,74.63
27,76.37
28,75.44
29,78.11
30,78.75
31,80.71
32,79.83
33,77.87
34,76.13
35,74.25
36,74.25
37,76.27
38,83.31
39,83.31
40,84.64
41,83.73
42,83.73
43,84.93
44,86.25
45,88.78
46,93.48
47,92.89
48,92.74
49,96.64
50,100.81
51,104.25
52,103.89
53,104.64
54,113.45
55,105.90
56,105.90
57,105.90
58,105.90
59,112.51
60,116.23
61,94.04
62,107.24
63,107.24
64,107.24
65,107.24
66,107.24
67,107.24
